#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 kilogram</span> = <span class=""cloze"" data-cloze=""2&#x2E;2"" data-ordinal=""1"">[...]</span> lbs"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 kilogram</span> = <span class=""cloze"" data-ordinal=""1"">2.2</span> lbs
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;kilogram"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">2.2</span> lbs"	"<span class=""cloze"" data-ordinal=""2"">1 kilogram</span> = <span class=""cloze-inactive"" data-ordinal=""1"">2.2</span> lbs
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 lb</span> = <span class=""cloze"" data-cloze=""450"" data-ordinal=""1"">[...]</span> grams."	"<span class=""cloze-inactive"" data-ordinal=""2"">1 lb</span> = <span class=""cloze"" data-ordinal=""1"">450</span> grams.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;lb"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">450</span> grams."	"<span class=""cloze"" data-ordinal=""2"">1 lb</span> = <span class=""cloze-inactive"" data-ordinal=""1"">450</span> grams.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 gallon</span> = <span class=""cloze"" data-cloze=""3&#x2E;8"" data-ordinal=""1"">[...]</span> liters"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 gallon</span> = <span class=""cloze"" data-ordinal=""1"">3.8</span> liters
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;gallon"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">3.8</span> liters"	"<span class=""cloze"" data-ordinal=""2"">1 gallon</span> = <span class=""cloze-inactive"" data-ordinal=""1"">3.8</span> liters
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 liter</span> = <span class=""cloze"" data-cloze=""1"" data-ordinal=""1"">[...]</span> quart"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 liter</span> = <span class=""cloze"" data-ordinal=""1"">1</span> quart
<hr>

<div style=""font-style:italic;color:gray;"">

Approximated from 1.06</div>"
"<span class=""cloze"" data-cloze=""1&#x20;liter"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1</span> quart"	"<span class=""cloze"" data-ordinal=""2"">1 liter</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1</span> quart
<hr>

<div style=""font-style:italic;color:gray;"">

Approximated from 1.06</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 hour</span> = <span class=""cloze"" data-cloze=""3600"" data-ordinal=""1"">[...]</span> seconds."	"<span class=""cloze-inactive"" data-ordinal=""2"">1 hour</span> = <span class=""cloze"" data-ordinal=""1"">3600</span> seconds.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;hour"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">3600</span> seconds."	"<span class=""cloze"" data-ordinal=""2"">1 hour</span> = <span class=""cloze-inactive"" data-ordinal=""1"">3600</span> seconds.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<div>Converting Celsius → Farenheit...</div><div><br></div>Temp. (°F) = <span class=""cloze"" data-cloze=""&#x28;1&#x2E;8&#x28;T&#xB0;C&amp;nbsp&#x3B;&#x2B;&#x20;32&#x29;"" data-ordinal=""1"">[...]</span>"	"<div>Converting Celsius → Farenheit...</div><div><br></div>Temp. (°F) = <span class=""cloze"" data-ordinal=""1"">(1.8(T°C&nbsp;+ 32)</span>
<hr>

<div style=""font-style:italic;color:gray;"">

1.8 is multiplied by (T<sup>*C</sup> + 32)</div>"
"<div>Converting Farenheit → Celsius...</div><div><br></div><div>Temp (°C) = <span class=""cloze"" data-cloze=""0&#x2E;6&#x28;T&#xB0;F&amp;nbsp&#x3B;&#x2D;&#x20;32&#x29;"" data-ordinal=""1"">[...]</span></div>"	"<div>Converting Farenheit → Celsius...</div><div><br></div><div>Temp (°C) = <span class=""cloze"" data-ordinal=""1"">0.6(T°F&nbsp;- 32)</span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>0.6 is multipled by (T<sup>*F</sup> - 32)</div><div>- Same as (5/9)(T<sup>*F</sup> - 32)</div><div><br></div><div><img src=""paste-497673533c90e4dca2a5efd1d3d7bf4308ce0707.jpg""><br></div></div>"
"The <b>fundamental charge</b> of a <u style="""">proton</u> or <u style="""">electron</u> is <span class=""cloze"" data-cloze=""1&#x2E;6&#x20;x&#x20;10&lt;sup&gt;&#x2D;19&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;C."	"The <b>fundamental charge</b> of a <u style="""">proton</u> or <u style="""">electron</u> is <span class=""cloze"" data-ordinal=""1"">1.6 x 10<sup>-19</sup></span>&nbsp;C.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"An element's <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">atomic number (Z)</b></span> is its number of <span class=""cloze"" data-cloze=""&lt;u&#x20;style&#x3D;&quot;&quot;&gt;protons&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span>."	"An element's <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">atomic number (Z)</b></span> is its number of <span class=""cloze"" data-ordinal=""1""><u style="""">protons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""d4b84be6420ee5fa213d6074c63a0a26.png""><br></div></div>"
"An element's <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;atomic&#x20;number&#x20;&#x28;Z&#x29;&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> is its number of <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">protons</u></span>."	"An element's <span class=""cloze"" data-ordinal=""2""><b style="""">atomic number (Z)</b></span> is its number of <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">protons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""d4b84be6420ee5fa213d6074c63a0a26.png""><br></div></div>"
"<span class=""cloze"" data-cloze=""Neutrons"" data-ordinal=""1"">[protons/neutrons]</span> have only slightly <span class=""cloze-inactive"" data-ordinal=""2""><i>more</i></span>&nbsp;<u style="""">mass</u> than <span class=""cloze"" data-cloze=""protons"" data-ordinal=""1"">[protons/neutrons]</span>."	"<span class=""cloze"" data-ordinal=""1"">Neutrons</span> have only slightly <span class=""cloze-inactive"" data-ordinal=""2""><i>more</i></span>&nbsp;<u style="""">mass</u> than <span class=""cloze"" data-ordinal=""1"">protons</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"An element's <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">mass number</b></span> is its <i>sum</i> of <span class=""cloze"" data-cloze=""&lt;u&#x20;style&#x3D;&quot;&quot;&gt;protons&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""&lt;u&#x20;style&#x3D;&quot;&quot;&gt;neutrons&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span>."	"An element's <span class=""cloze-inactive"" data-ordinal=""2""><b style="""">mass number</b></span> is its <i>sum</i> of <span class=""cloze"" data-ordinal=""1""><u style="""">protons</u></span> &amp; <span class=""cloze"" data-ordinal=""1""><u style="""">neutrons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"An element's <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;mass&#x20;number&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> is its <i>sum</i> of <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">protons</u></span> &amp; <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">neutrons</u></span>."	"An element's <span class=""cloze"" data-ordinal=""2""><b style="""">mass number</b></span> is its <i>sum</i> of <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">protons</u></span> &amp; <span class=""cloze-inactive"" data-ordinal=""1""><u style="""">neutrons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Istopes&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> are elements with the <i>same</i> number of <span class=""cloze-inactive"" data-ordinal=""2""><u>protons</u></span> but a <i>different</i> number of <span class=""cloze-inactive"" data-ordinal=""2""><u>neutrons</u></span>."	"<span class=""cloze"" data-ordinal=""1""><b>Istopes</b></span> are elements with the <i>same</i> number of <span class=""cloze-inactive"" data-ordinal=""2""><u>protons</u></span> but a <i>different</i> number of <span class=""cloze-inactive"" data-ordinal=""2""><u>neutrons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Istopes</b></span> are elements with the <i>same</i> number of <span class=""cloze"" data-cloze=""&lt;u&gt;protons&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> but a <i>different</i> number of <span class=""cloze"" data-cloze=""&lt;u&gt;neutrons&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span>."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Istopes</b></span> are elements with the <i>same</i> number of <span class=""cloze"" data-ordinal=""2""><u>protons</u></span> but a <i>different</i> number of <span class=""cloze"" data-ordinal=""2""><u>neutrons</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"The <i>symbol</i> for an element's <b>atomic number</b> is <span class=""cloze"" data-cloze=""Z"" data-ordinal=""1"">[...]</span>."	"The <i>symbol</i> for an element's <b>atomic number</b> is <span class=""cloze"" data-ordinal=""1"">Z</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"The <i>symbol</i> for an element's <b>mass number</b> is <span class=""cloze"" data-cloze=""A"" data-ordinal=""1"">[...]</span>."	"The <i>symbol</i> for an element's <b>mass number</b> is <span class=""cloze"" data-ordinal=""1"">A</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"Electrons <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;closest&lt;&#x2F;i&gt;"" data-ordinal=""1"">[closest/furthest]</span> to the atom's <b>nucleus</b> have the <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">lowest</i></span> <u>potential energies</u>."	"Electrons <span class=""cloze"" data-ordinal=""1""><i style="""">closest</i></span> to the atom's <b>nucleus</b> have the <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">lowest</i></span> <u>potential energies</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Think of electrical potential.</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Electrons <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">closest</i></span> to the atom's <b>nucleus</b> have the <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;lowest&lt;&#x2F;i&gt;"" data-ordinal=""2"">[high/low]</span> <u>potential energies</u>."	"Electrons <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">closest</i></span> to the atom's <b>nucleus</b> have the <span class=""cloze"" data-ordinal=""2""><i style="""">lowest</i></span> <u>potential energies</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Think of electrical potential.</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Electrons <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;furthest&lt;&#x2F;i&gt;"" data-ordinal=""1"">[closest/furthest]</span> from the atom's <b>nucleus</b> have the <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">highest</i></span> <u>potential energies</u>."	"Electrons <span class=""cloze"" data-ordinal=""1""><i style="""">furthest</i></span> from the atom's <b>nucleus</b> have the <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">highest</i></span> <u>potential energies</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Think of electrical potential.</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Electrons <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">furthest</i></span> from the atom's <b>nucleus</b> have the <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;highest&lt;&#x2F;i&gt;"" data-ordinal=""2"">[high/low]</span> <u>potential energies</u>."	"Electrons <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">furthest</i></span> from the atom's <b>nucleus</b> have the <span class=""cloze"" data-ordinal=""2""><i style="""">highest</i></span> <u>potential energies</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Think of electrical potential.</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Electrons with the <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;highest&lt;&#x2F;i&gt;"" data-ordinal=""1"">[highest/lowest]</span> <b style="""">energy shells</b> are <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">furthest</i></span> from the nucleus."	"Electrons with the <span class=""cloze"" data-ordinal=""1""><i style="""">highest</i></span> <b style="""">energy shells</b> are <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">furthest</i></span> from the nucleus.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Valence electrons</div><div>- This high energy is what makes valence electrons highly reactive (since energy is inversely proportional to stability).</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Electrons with the <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">highest</i></span> <b style="""">energy shells</b> are <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;furthest&lt;&#x2F;i&gt;"" data-ordinal=""2"">[furthest/closest]</span> from the nucleus."	"Electrons with the <span class=""cloze-inactive"" data-ordinal=""1""><i style="""">highest</i></span> <b style="""">energy shells</b> are <span class=""cloze"" data-ordinal=""2""><i style="""">furthest</i></span> from the nucleus.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Valence electrons</div><div>- This high energy is what makes valence electrons highly reactive (since energy is inversely proportional to stability).</div><div><br></div><img src=""c-atom_e1.gif""></div>"
"Out of every electon shell, <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;valence&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <b style="""">electrons</b> experience the <span class=""cloze-inactive"" data-ordinal=""2""><i>weakest</i></span> pull from their own nucleus."	"Out of every electon shell, <span class=""cloze"" data-ordinal=""1""><b style="""">valence</b></span> <b style="""">electrons</b> experience the <span class=""cloze-inactive"" data-ordinal=""2""><i>weakest</i></span> pull from their own nucleus.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Hence why they can easily ""leave"" to bind with other atoms.</div><div><br></div><div><img src=""c-atom_e1.gif""><br></div></div>"
"Out of every electon shell, <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">valence</b></span> <b style="""">electrons</b> experience the <span class=""cloze"" data-cloze=""&lt;i&gt;weakest&lt;&#x2F;i&gt;"" data-ordinal=""2"">[strongest/weakest]</span> pull from their own nucleus."	"Out of every electon shell, <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">valence</b></span> <b style="""">electrons</b> experience the <span class=""cloze"" data-ordinal=""2""><i>weakest</i></span> pull from their own nucleus.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Hence why they can easily ""leave"" to bind with other atoms.</div><div><br></div><div><img src=""c-atom_e1.gif""><br></div></div>"
"1 <b>atomic mass</b> <b>unit </b>(amu) is <span class=""cloze"" data-cloze=""1&#x2E;7&#x20;x&#x20;10&lt;sup&gt;&#x2D;24&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">g</span>."	"1 <b>atomic mass</b> <b>unit </b>(amu) is <span class=""cloze"" data-ordinal=""1"">1.7 x 10<sup>-24</sup></span>&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">g</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"An atom's <b style="""">atomic</b> <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;mass&lt;&#x2F;b&gt;"" data-ordinal=""1"">[mass/weight]</span> is the <i>same</i> as its <span class=""cloze-inactive"" data-ordinal=""2"">mass</span> number."	"An atom's <b style="""">atomic</b> <span class=""cloze"" data-ordinal=""1""><b style="""">mass</b></span> is the <i>same</i> as its <span class=""cloze-inactive"" data-ordinal=""2"">mass</span> number.
<hr>

<div style=""font-style:italic;color:gray;"">

Protons + neutrons<div>- <b>Atomic weight </b>is the average weight of all of its existing isotopes.</div></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>Protium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-cloze=""1"" data-ordinal=""1"">[#]</span> proton &amp; <span class=""cloze"" data-cloze=""0"" data-ordinal=""1"">[#]</span> neutrons."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>Protium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze"" data-ordinal=""1"">0</span> neutrons.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""fba0d4e607bc35af1f14d038629b5f9c.png""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Protium&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">0</span> neutrons."	"<span class=""cloze"" data-ordinal=""2""><b>Protium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">0</span> neutrons.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""fba0d4e607bc35af1f14d038629b5f9c.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>Deuterium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-cloze=""1"" data-ordinal=""1"">[#]</span> proton &amp; <span class=""cloze"" data-cloze=""1"" data-ordinal=""1"">[#]</span> neutron."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>Deuterium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze"" data-ordinal=""1"">1</span> neutron.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""fba0d4e607bc35af1f14d038629b5f9c.png""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Deuterium&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">1</span> neutron."	"<span class=""cloze"" data-ordinal=""2""><b>Deuterium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">1</span> neutron.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""fba0d4e607bc35af1f14d038629b5f9c.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""2""><b>Tritium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-cloze=""1"" data-ordinal=""1"">[#]</span> proton &amp; <span class=""cloze"" data-cloze=""2"" data-ordinal=""1"">[#]</span> neutrons."	"<span class=""cloze-inactive"" data-ordinal=""2""><b>Tritium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze"" data-ordinal=""1"">2</span> neutrons.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""fba0d4e607bc35af1f14d038629b5f9c.png""><br></div></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Tritium&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">2</span> neutrons."	"<span class=""cloze"" data-ordinal=""2""><b>Tritium</b></span> is the <i>isotope</i> for <u>hydrogen</u> containing <span class=""cloze-inactive"" data-ordinal=""1"">1</span> proton &amp; <span class=""cloze-inactive"" data-ordinal=""1"">2</span> neutrons.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""fba0d4e607bc35af1f14d038629b5f9c.png""><br></div></div>"
